neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
14LiwZ3LeVVq7oBrSJ7wzkrX9Lfc23sx1C,1,0.02968469262123108,0.02968469262123108,-0.02968469262123108
1GQmweAj7Lqwzs4eD8u6DjGA8da2kaG93S,4,0.029283889569342136,0.007320972392335534,-0.0061611870769411325
3PJf9xLejoRJrNzNc38dNMhrsR7uTRty5w,1,0.028732366859912872,0.028732366859912872,-0.028732366859912872
122njJc1zCSPDHcFVWSQdT3ogzcxjR6Lop,1,0.028545260429382324,0.028545260429382324,0.028545260429382324
198jCtoeTwSjvwy8ECM8rp8VNB9RDwSecK,1,0.02831554412841797,0.02831554412841797,-0.02831554412841797
13zjYgMuJVNqTwtNVNPgR1M8azQTtXxayw,1,0.02806788682937622,0.02806788682937622,-0.02806788682937622
15Kg2a1mapen6vAzCZbDfSzHWyoeVWyFFi,1,0.02730277180671692,0.02730277180671692,-0.02730277180671692
3M22qkooDXywKiunyZZARcDAN8fG4F6pub,1,0.026676535606384277,0.026676535606384277,-0.026676535606384277
14X9cD2o4UW5NgwGWG13FiwAMiMcmN4CS4,1,0.025237224996089935,0.025237224996089935,-0.025237224996089935
35AnUd6znjGwzXZLa9tkjbAyAmaPeDwPPr,1,0.02434346079826355,0.02434346079826355,-0.02434346079826355
1MBH6uJKhjbjFoHY9UwTKs59SNzY2HerFa,1,0.02358509600162506,0.02358509600162506,-0.02358509600162506
12PuJ9ixCUzDsT8MqFEkim5zdcrF6TAgjW,1,0.023404687643051147,0.023404687643051147,0.023404687643051147
3LspjRRVhwRR1JgMC3FWbynwDTsBfAVpaA,1,0.023373003117740154,0.023373003117740154,0.023373003117740154
1AGvs3vZQ8rwhREcn1todsP1Cex6qZTCik,1,0.023297011852264404,0.023297011852264404,-0.023297011852264404
1nyfMgCoecGXCF9RTfVwGkGZYN9V4jCoh,1,0.02326624095439911,0.02326624095439911,-0.02326624095439911
1H1WS2tFx5yCsxtefs9PSTdqVX2mduyf3b,2,0.023244395852088928,0.011622197926044464,-0.011622197926044464
14mgSL6jyU6P8zmAV6SNQsD5Bp9R2dkgzW,1,0.023162122815847397,0.023162122815847397,-0.023162122815847397
1Dk7S7v3hDBVcS93LPPKWpCSGbL63Ewwn,1,0.02210967242717743,0.02210967242717743,0.02210967242717743
1BgfQbmjeptRbmDNhNPvgthQW14UAjTiy8,1,0.022011995315551758,0.022011995315551758,0.022011995315551758
15Nz69Kce3Vi51kTaZGaRJfpugdmLbBQVR,1,0.02198222279548645,0.02198222279548645,-0.02198222279548645
19WofTajxscPym7mQvFmg7gMqcGvDk6Vf6,1,0.021354734897613525,0.021354734897613525,-0.021354734897613525
1KpQ9EU4bL7BnrgeqsjJt9fhfJ7JzC875T,1,0.02133692428469658,0.02133692428469658,-0.02133692428469658
1B56fVVmMokU9zMqArXa4A2269CMNTTk8c,2,0.020989537239074707,0.010494768619537354,0.010494768619537354
1N4sMnEDftDJayKBvQ5T6ktAwu4W2B5jAH,1,0.02032524347305298,0.02032524347305298,-0.02032524347305298
1HsfFANHq8KHV3kujDJLThowAT6VkUGunQ,1,0.020176813006401062,0.020176813006401062,-0.020176813006401062
1gve4i2TZGTbiKuSTRoGxceyaT6XBxPGg,1,0.02014230191707611,0.02014230191707611,-0.02014230191707611
14Ni6kMXUbyRrJEXJxibR9qGKj7Pfq4y2C,1,0.019608840346336365,0.019608840346336365,-0.019608840346336365
1KmZzMuFonWaqd4LE6ZMYdpQtVGYMqXoqG,1,0.019197911024093628,0.019197911024093628,-0.019197911024093628
