neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
1Nd4WoUggkZ71AYxsAVPChMzSztrFKduvY,1,0.006872355937957764,0.006872355937957764,-0.006872355937957764
1FDqi4NGvGiqf2zqYSx6iLo6Pd8y9N8WVj,1,0.006781458854675293,0.006781458854675293,-0.006781458854675293
1DHHJdsakHN7tCuLziQqfUHFK5RKpJB6RN,1,0.006497740745544434,0.006497740745544434,-0.006497740745544434
1PkwBdVLvG41LF6FFHueBifKBf7J259Xav,1,0.0064904093742370605,0.0064904093742370605,0.0064904093742370605
1EgVDZjJeRYV7fEpGv5fi4bG6H4NtAX6Fa,1,0.006362974643707275,0.006362974643707275,-0.006362974643707275
1KumbRsTcA6UNqU2MHEfqEFnAZYU3w3izR,2,0.006202779011800885,0.0031013895059004426,0.002651854301802814
1GUY31ZGPGRyt8TiUVJaACw49gKkVKXa1v,1,0.006188170984387398,0.006188170984387398,-0.006188170984387398
1MoCk52G8cz4KPuNPMXdpe2rBCgTbSTK6R,1,0.006151139736175537,0.006151139736175537,-0.006151139736175537
18JMGJhnFQsHRYHECnywjG3NPpgRmVjRxH,2,0.0060503482818603516,0.0030251741409301758,-0.0030251741409301758
1CPCGQYeGg21J8ALCahdtn6PRJJUg84MPM,1,0.0059656500816345215,0.0059656500816345215,-0.0059656500816345215
1NLxMQRd4BzMh2ka4vgomUQKBuhhrhKVgG,1,0.005924999713897705,0.005924999713897705,-0.005924999713897705
1AnYHAJ1fh3L4BCpkhHCtsRq3wDzQsEBih,1,0.005697309970855713,0.005697309970855713,-0.005697309970855713
149R7hMKKU78PU1t2nqX22qtWAyR9R7A4Z,1,0.005499899387359619,0.005499899387359619,-0.005499899387359619
19yYEwstiwMgHCtSfySypF2qBV4qG5rhcU,1,0.005433142185211182,0.005433142185211182,-0.005433142185211182
14giZyCQDGHSpSyVygyw7viGTcc9uvVoSp,1,0.005402803421020508,0.005402803421020508,-0.005402803421020508
1purUJS3HGsuRe6cBaA1ULH1sdvv6e9K9,1,0.005315065383911133,0.005315065383911133,-0.005315065383911133
1B8fmorWPcFyGGHri81Wrj19pDGoFjJs4t,1,0.005306422710418701,0.005306422710418701,-0.005306422710418701
1GmyXoUKLG2VYabNayKscVbCPwbjswaKMC,1,0.005109054036438465,0.005109054036438465,0.005109054036438465
1WSa32tv9Cx1CNFoN7cY4QwEXm1yvQ5w1,1,0.005091637372970581,0.005091637372970581,-0.005091637372970581
129EZEk9iu73adHScv3Qu4QibtsTAWSrus,1,0.0050691962242126465,0.0050691962242126465,-0.0050691962242126465
1B56fVVmMokU9zMqArXa4A2269CMNTTk8c,2,0.005013525485992432,0.002506762742996216,-0.002506762742996216
1ET5rCodBrECBVHuhsDciTifSzGdxCNrty,1,0.004990637302398682,0.004990637302398682,-0.004990637302398682
