class,row,n_neighbors,max_abs_delta,mean_delta,any_flip,any_risk_increasing,any_protective
0,192541,2,0.00035587185993790627,-0.0001512675080448389,False,True,True
0,195779,1,0.31027752161026,-0.31027752161026,False,False,True
0,196644,1,0.001575517002493143,-0.001575517002493143,False,False,True
0,202531,1,0.023130428977310658,-0.023130428977310658,False,False,True
0,204005,3,0.060424935072660446,-0.014116594257454077,False,True,True
0,204548,1,0.004581869347020984,-0.004581869347020984,False,False,True
0,204565,1,0.06399325421079993,-0.06399325421079993,False,False,True
0,209642,1,0.005830053240060806,-0.005830053240060806,False,False,True
0,211569,1,0.00012079533189535141,0.00012079533189535141,False,True,False
0,212152,1,0.06302703404799104,-0.06302703404799104,False,False,True
0,213328,2,0.0016139750368893147,-0.00034918193705379963,False,True,True
0,213331,1,0.00041269557550549507,0.00041269557550549507,False,True,False
0,215156,5,0.0001667453907430172,-4.666149616241455e-05,False,True,True
0,216847,1,0.42791035771369934,-0.42791035771369934,False,False,True
0,218560,1,0.0020204856991767883,-0.0020204856991767883,False,False,True
0,219466,1,0.00021198787726461887,0.00021198787726461887,False,True,False
0,225803,1,0.008405711501836777,-0.008405711501836777,False,False,True
0,229768,2,0.0005656261928379536,-0.00047633866779506207,False,False,True
0,231346,1,0.11026220582425594,-0.11026220582425594,False,False,True
0,231586,1,0.001953164814040065,-0.001953164814040065,False,False,True
0,232072,1,0.0009216945618391037,-0.0009216945618391037,False,False,True
0,232581,1,0.3533757096156478,-0.3533757096156478,False,False,True
0,232778,3,0.0003727960865944624,-8.594167108337085e-05,False,True,True
0,239782,4,0.0004392019473016262,-0.0002420253586024046,False,True,True
0,241002,2,0.07088524103164673,-0.044096946716308594,False,False,True
0,241093,1,0.06358535960316658,-0.06358535960316658,False,False,True
0,247252,2,0.00026788515970110893,-0.00014481856487691402,False,False,True
0,248238,1,0.08717040345072746,-0.08717040345072746,False,False,True
0,249351,1,0.0001918054185807705,-0.0001918054185807705,False,False,True
0,249446,1,0.01559182396158576,-0.01559182396158576,False,False,True
0,254464,1,0.1499561071395874,-0.1499561071395874,False,False,True
0,254603,2,0.022011995315551758,0.004289031028747559,True,True,True
0,258962,2,0.04806561768054962,-0.02585296332836151,False,False,True
0,261641,1,0.00523251062259078,-0.00523251062259078,False,False,True
0,262455,2,0.028732366859912872,-0.011058509349822998,False,True,True
0,263434,1,0.07727090455591679,-0.07727090455591679,False,False,True
0,266821,1,0.0008881445974111557,-0.0008881445974111557,False,False,True
0,271251,1,0.1605009362101555,-0.1605009362101555,False,False,True
0,272345,1,0.00987279461696744,-0.00987279461696744,False,False,True
0,274674,1,0.06764522613957524,-0.06764522613957524,False,False,True
0,275360,1,0.03514167387038469,-0.03514167387038469,False,False,True
0,275718,2,0.0022744047455489635,-0.0011389476712793112,False,False,True
0,277635,1,0.024150239303708076,-0.024150239303708076,False,False,True
0,279016,2,0.0012577122543007135,-0.0008026540745049715,False,False,True
0,279796,1,0.08557399641722441,0.08557399641722441,False,True,False
0,279958,4,0.1595623791217804,0.019179567694664,False,True,True
0,280239,1,0.000527307391166687,0.000527307391166687,False,True,False
0,282711,1,0.05260661244392395,-0.05260661244392395,False,False,True
0,285501,1,0.02210967242717743,0.02210967242717743,False,True,False
0,287642,1,0.0649235644377768,-0.0649235644377768,False,False,True
0,288345,1,0.09470188617706299,-0.09470188617706299,False,False,True
1,1988,1,0.35603636503219604,-0.35603636503219604,True,False,True
1,2122,1,0.5296874046325684,0.5296874046325684,False,True,False
1,2915,1,0.2904232144355774,-0.2904232144355774,False,False,True
1,7437,14,0.05201910436153412,-0.012984520622662135,False,True,True
1,8614,1,0.027809619903564453,0.027809619903564453,False,True,False
